Player,Team,qbMult,Team,AvgDefYds,EstYds
Murray,Arizona Cardinals,1.043991617891466,Atlanta Falcons,306.875,320.37492774044364
Murray,Arizona Cardinals,1.043991617891466,Baltimore Ravens,266.75,278.48476407254856
Murray,Arizona Cardinals,1.043991617891466,Buffalo Bills,203.14285714285714,212.07944009166638
Murray,Arizona Cardinals,1.043991617891466,Carolina Panthers,232.0,242.20605535082012
Murray,Arizona Cardinals,1.043991617891466,Chicago Bears,188.0,196.27042416359564
Murray,Arizona Cardinals,1.043991617891466,Cincinnati Bengals,210.375,219.62973661391717
Murray,Arizona Cardinals,1.043991617891466,Cleveland Browns,208.25,217.41125442589782
Murray,Arizona Cardinals,1.043991617891466,Dallas Cowboys,178.375,186.22200484139026
Murray,Arizona Cardinals,1.043991617891466,Denver Broncos,165.75,173.04161066551052
Murray,Arizona Cardinals,1.043991617891466,Detroit Lions,266.42857142857144,278.1491953382263
Murray,Arizona Cardinals,1.043991617891466,Green Bay Packers,174.75,182.4375352265337
Murray,Arizona Cardinals,1.043991617891466,Houston Texans,217.57142857142858,227.14274772124327
Murray,Arizona Cardinals,1.043991617891466,Indianapolis Colts,199.75,208.53732567382036
Murray,Arizona Cardinals,1.043991617891466,Jacksonville Jaguars,237.125,247.5565123925139
Murray,Arizona Cardinals,1.043991617891466,Kansas City Chiefs,277.0,289.1856781559361
Murray,Arizona Cardinals,1.043991617891466,Las Vegas Raiders,258.14285714285717,269.49897907569704
Murray,Arizona Cardinals,1.043991617891466,Los Angeles Chargers,220.0,229.67815593612255
Murray,Arizona Cardinals,1.043991617891466,Los Angeles Rams,205.71428571428572,214.76398996624445
Murray,Arizona Cardinals,1.043991617891466,Miami Dolphins,262.125,273.65630283980056
Murray,Arizona Cardinals,1.043991617891466,Minnesota Vikings,275.57142857142856,287.6942615589483
Murray,Arizona Cardinals,1.043991617891466,New England Patriots,224.5,234.37611821663415
Murray,Arizona Cardinals,1.043991617891466,New Orleans Saints,208.25,217.41125442589782
Murray,Arizona Cardinals,1.043991617891466,New York Giants,208.375,217.54175337813425
Murray,Arizona Cardinals,1.043991617891466,New York Jets,203.375,212.32179528867692
Murray,Arizona Cardinals,1.043991617891466,Philadelphia Eagles,183.42857142857142,191.49789105323464
Murray,Arizona Cardinals,1.043991617891466,Pittsburgh Steelers,277.25,289.446676060409
Murray,Arizona Cardinals,1.043991617891466,San Francisco 49ers,199.25,208.01532986487462
Murray,Arizona Cardinals,1.043991617891466,Seattle Seahawks,236.625,247.03451658356818
Murray,Arizona Cardinals,1.043991617891466,Tampa Bay Buccaneers,194.0,202.53437387094442
Murray,Arizona Cardinals,1.043991617891466,Tennessee Titans,254.71428571428572,265.9195792429263
Murray,Arizona Cardinals,1.043991617891466,Washington Commanders,214.0,223.41420622877374
Mariota,Atlanta Falcons,0.7501987137798974,Arizona Cardinals,252.25,189.23762555097912
Mariota,Atlanta Falcons,0.7501987137798974,Baltimore Ravens,266.75,200.11550690078764
Mariota,Atlanta Falcons,0.7501987137798974,Buffalo Bills,203.14285714285714,152.39751014214488
Mariota,Atlanta Falcons,0.7501987137798974,Carolina Panthers,232.0,174.0461015969362
Mariota,Atlanta Falcons,0.7501987137798974,Chicago Bears,188.0,141.03735819062072
Mariota,Atlanta Falcons,0.7501987137798974,Cincinnati Bengals,210.375,157.82305441144592
Mariota,Atlanta Falcons,0.7501987137798974,Cleveland Browns,208.25,156.22888214466363
Mariota,Atlanta Falcons,0.7501987137798974,Dallas Cowboys,178.375,133.8166955704892
Mariota,Atlanta Falcons,0.7501987137798974,Denver Broncos,165.75,124.345436809018
Mariota,Atlanta Falcons,0.7501987137798974,Detroit Lions,266.42857142857144,199.87437159992984
Mariota,Atlanta Falcons,0.7501987137798974,Green Bay Packers,174.75,131.09722523303708
Mariota,Atlanta Falcons,0.7501987137798974,Houston Texans,217.57142857142858,163.22180586954056
Mariota,Atlanta Falcons,0.7501987137798974,Indianapolis Colts,199.75,149.8521930775345
Mariota,Atlanta Falcons,0.7501987137798974,Jacksonville Jaguars,237.125,177.8908700050582
Mariota,Atlanta Falcons,0.7501987137798974,Kansas City Chiefs,277.0,207.8050437170316
Mariota,Atlanta Falcons,0.7501987137798974,Las Vegas Raiders,258.14285714285717,193.65843940003927
Mariota,Atlanta Falcons,0.7501987137798974,Los Angeles Chargers,220.0,165.04371703157744
Mariota,Atlanta Falcons,0.7501987137798974,Los Angeles Rams,205.71428571428572,154.32659254900747
Mariota,Atlanta Falcons,0.7501987137798974,Miami Dolphins,262.125,196.64583784955562
Mariota,Atlanta Falcons,0.7501987137798974,Minnesota Vikings,275.57142857142856,206.73333126877458
Mariota,Atlanta Falcons,0.7501987137798974,New England Patriots,224.5,168.41961124358698
Mariota,Atlanta Falcons,0.7501987137798974,New Orleans Saints,208.25,156.22888214466363
Mariota,Atlanta Falcons,0.7501987137798974,New York Giants,208.375,156.32265698388613
Mariota,Atlanta Falcons,0.7501987137798974,New York Jets,203.375,152.57166341498663
Mariota,Atlanta Falcons,0.7501987137798974,Philadelphia Eagles,183.42857142857142,137.6078783561983
Mariota,Atlanta Falcons,0.7501987137798974,Pittsburgh Steelers,277.25,207.99259339547658
Mariota,Atlanta Falcons,0.7501987137798974,San Francisco 49ers,199.25,149.47709372064458
Mariota,Atlanta Falcons,0.7501987137798974,Seattle Seahawks,236.625,177.51577064816823
Mariota,Atlanta Falcons,0.7501987137798974,Tampa Bay Buccaneers,194.0,145.5385504733001
Mariota,Atlanta Falcons,0.7501987137798974,Tennessee Titans,254.71428571428572,191.08632952422246
Mariota,Atlanta Falcons,0.7501987137798974,Washington Commanders,214.0,160.54252474889805
Jackson,Baltimore Ravens,0.8566514921598382,Arizona Cardinals,252.25,216.09033889731919
Jackson,Baltimore Ravens,0.8566514921598382,Atlanta Falcons,306.875,262.88492665655036
Jackson,Baltimore Ravens,0.8566514921598382,Buffalo Bills,203.14285714285714,174.0226316930414
Jackson,Baltimore Ravens,0.8566514921598382,Carolina Panthers,232.0,198.74314618108247
Jackson,Baltimore Ravens,0.8566514921598382,Chicago Bears,188.0,161.05048052604957
Jackson,Baltimore Ravens,0.8566514921598382,Cincinnati Bengals,210.375,180.21805766312596
Jackson,Baltimore Ravens,0.8566514921598382,Cleveland Browns,208.25,178.3976732422863
Jackson,Baltimore Ravens,0.8566514921598382,Dallas Cowboys,178.375,152.80520991401113
Jackson,Baltimore Ravens,0.8566514921598382,Denver Broncos,165.75,141.98998482549317
Jackson,Baltimore Ravens,0.8566514921598382,Detroit Lions,266.42857142857144,228.23643326829975
Jackson,Baltimore Ravens,0.8566514921598382,Green Bay Packers,174.75,149.6998482549317
Jackson,Baltimore Ravens,0.8566514921598382,Houston Texans,217.57142857142858,186.38288893706195
Jackson,Baltimore Ravens,0.8566514921598382,Indianapolis Colts,199.75,171.11613555892768
Jackson,Baltimore Ravens,0.8566514921598382,Jacksonville Jaguars,237.125,203.13348507840163
Jackson,Baltimore Ravens,0.8566514921598382,Kansas City Chiefs,277.0,237.29246332827518
Jackson,Baltimore Ravens,0.8566514921598382,Las Vegas Raiders,258.14285714285717,221.13846376183253
Jackson,Baltimore Ravens,0.8566514921598382,Los Angeles Chargers,220.0,188.4633282751644
Jackson,Baltimore Ravens,0.8566514921598382,Los Angeles Rams,205.71428571428572,176.22544981573813
Jackson,Baltimore Ravens,0.8566514921598382,Miami Dolphins,262.125,224.54977238239758
Jackson,Baltimore Ravens,0.8566514921598382,Minnesota Vikings,275.57142857142856,236.06867548233254
Jackson,Baltimore Ravens,0.8566514921598382,New England Patriots,224.5,192.31825998988367
Jackson,Baltimore Ravens,0.8566514921598382,New Orleans Saints,208.25,178.3976732422863
Jackson,Baltimore Ravens,0.8566514921598382,New York Giants,208.375,178.50475467880628
Jackson,Baltimore Ravens,0.8566514921598382,New York Jets,203.375,174.22149721800707
Jackson,Baltimore Ravens,0.8566514921598382,Philadelphia Eagles,183.42857142857142,157.13435941903316
Jackson,Baltimore Ravens,0.8566514921598382,Pittsburgh Steelers,277.25,237.50662620131513
Jackson,Baltimore Ravens,0.8566514921598382,San Francisco 49ers,199.25,170.68780981284775
Jackson,Baltimore Ravens,0.8566514921598382,Seattle Seahawks,236.625,202.7051593323217
Jackson,Baltimore Ravens,0.8566514921598382,Tampa Bay Buccaneers,194.0,166.19038947900862
Jackson,Baltimore Ravens,0.8566514921598382,Tennessee Titans,254.71428571428572,218.2013729315702
Jackson,Baltimore Ravens,0.8566514921598382,Washington Commanders,214.0,183.32341932220535
Allen,Buffalo Bills,1.3159910398150156,Arizona Cardinals,252.25,331.9587397933377
Allen,Buffalo Bills,1.3159910398150156,Atlanta Falcons,306.875,403.84475034323293
Allen,Buffalo Bills,1.3159910398150156,Baltimore Ravens,266.75,351.04060987065543
Allen,Buffalo Bills,1.3159910398150156,Carolina Panthers,232.0,305.30992123708364
Allen,Buffalo Bills,1.3159910398150156,Chicago Bears,188.0,247.40631548522293
Allen,Buffalo Bills,1.3159910398150156,Cincinnati Bengals,210.375,276.8516150010839
Allen,Buffalo Bills,1.3159910398150156,Cleveland Browns,208.25,274.055134041477
Allen,Buffalo Bills,1.3159910398150156,Dallas Cowboys,178.375,234.73990172700343
Allen,Buffalo Bills,1.3159910398150156,Denver Broncos,165.75,218.12551484933886
Allen,Buffalo Bills,1.3159910398150156,Detroit Lions,266.42857142857144,350.6176127507149
Allen,Buffalo Bills,1.3159910398150156,Green Bay Packers,174.75,229.96943420767397
Allen,Buffalo Bills,1.3159910398150156,Houston Texans,217.57142857142858,286.3220505197527
Allen,Buffalo Bills,1.3159910398150156,Indianapolis Colts,199.75,262.86921020304936
Allen,Buffalo Bills,1.3159910398150156,Jacksonville Jaguars,237.125,312.0543753161356
Allen,Buffalo Bills,1.3159910398150156,Kansas City Chiefs,277.0,364.52951802875936
Allen,Buffalo Bills,1.3159910398150156,Las Vegas Raiders,258.14285714285717,339.71368699224763
Allen,Buffalo Bills,1.3159910398150156,Los Angeles Chargers,220.0,289.51802875930343
Allen,Buffalo Bills,1.3159910398150156,Los Angeles Rams,205.71428571428572,270.7181567619461
Allen,Buffalo Bills,1.3159910398150156,Miami Dolphins,262.125,344.954151311511
Allen,Buffalo Bills,1.3159910398150156,Minnesota Vikings,275.57142857142856,362.64953082902355
Allen,Buffalo Bills,1.3159910398150156,New England Patriots,224.5,295.439988438471
Allen,Buffalo Bills,1.3159910398150156,New Orleans Saints,208.25,274.055134041477
Allen,Buffalo Bills,1.3159910398150156,New York Giants,208.375,274.21963292145387
Allen,Buffalo Bills,1.3159910398150156,New York Jets,203.375,267.6396777223788
Allen,Buffalo Bills,1.3159910398150156,Philadelphia Eagles,183.42857142857142,241.39035644606858
Allen,Buffalo Bills,1.3159910398150156,Pittsburgh Steelers,277.25,364.8585157887131
Allen,Buffalo Bills,1.3159910398150156,San Francisco 49ers,199.25,262.21121468314186
Allen,Buffalo Bills,1.3159910398150156,Seattle Seahawks,236.625,311.3963797962281
Allen,Buffalo Bills,1.3159910398150156,Tampa Bay Buccaneers,194.0,255.30226172411304
Allen,Buffalo Bills,1.3159910398150156,Tennessee Titans,254.71428571428572,335.2017177128819
Allen,Buffalo Bills,1.3159910398150156,Washington Commanders,214.0,281.62208252041336
Mayfield,Carolina Panthers,0.8063588409567166,Arizona Cardinals,252.25,203.40401763133175
Mayfield,Carolina Panthers,0.8063588409567166,Atlanta Falcons,306.875,247.4513693185924
Mayfield,Carolina Panthers,0.8063588409567166,Baltimore Ravens,266.75,215.09622082520417
Mayfield,Carolina Panthers,0.8063588409567166,Buffalo Bills,203.14285714285714,163.80603883435015
Mayfield,Carolina Panthers,0.8063588409567166,Chicago Bears,188.0,151.59546209986271
Mayfield,Carolina Panthers,0.8063588409567166,Cincinnati Bengals,210.375,169.63774116626925
Mayfield,Carolina Panthers,0.8063588409567166,Cleveland Browns,208.25,167.92422862923624
Mayfield,Carolina Panthers,0.8063588409567166,Dallas Cowboys,178.375,143.83425825565433
Mayfield,Carolina Panthers,0.8063588409567166,Denver Broncos,165.75,133.65397788857578
Mayfield,Carolina Panthers,0.8063588409567166,Detroit Lions,266.42857142857144,214.83703405489666
Mayfield,Carolina Panthers,0.8063588409567166,Green Bay Packers,174.75,140.91120745718624
Mayfield,Carolina Panthers,0.8063588409567166,Houston Texans,217.57142857142858,175.4406449681542
Mayfield,Carolina Panthers,0.8063588409567166,Indianapolis Colts,199.75,161.07017848110414
Mayfield,Carolina Panthers,0.8063588409567166,Jacksonville Jaguars,237.125,191.20784016186144
Mayfield,Carolina Panthers,0.8063588409567166,Kansas City Chiefs,277.0,223.3613989450105
Mayfield,Carolina Panthers,0.8063588409567166,Las Vegas Raiders,258.14285714285717,208.15577508696958
Mayfield,Carolina Panthers,0.8063588409567166,Los Angeles Chargers,220.0,177.39894501047766
Mayfield,Carolina Panthers,0.8063588409567166,Los Angeles Rams,205.71428571428572,165.87953299681027
Mayfield,Carolina Panthers,0.8063588409567166,Miami Dolphins,262.125,211.36681118577934
Mayfield,Carolina Panthers,0.8063588409567166,Minnesota Vikings,275.57142857142856,222.20945774364375
Mayfield,Carolina Panthers,0.8063588409567166,New England Patriots,224.5,181.0275597947829
Mayfield,Carolina Panthers,0.8063588409567166,New Orleans Saints,208.25,167.92422862923624
Mayfield,Carolina Panthers,0.8063588409567166,New York Giants,208.375,168.0250234843558
Mayfield,Carolina Panthers,0.8063588409567166,New York Jets,203.375,163.99322927957223
Mayfield,Carolina Panthers,0.8063588409567166,Philadelphia Eagles,183.42857142857142,147.90925025548916
Mayfield,Carolina Panthers,0.8063588409567166,Pittsburgh Steelers,277.25,223.56298865524968
Mayfield,Carolina Panthers,0.8063588409567166,San Francisco 49ers,199.25,160.66699906062578
Mayfield,Carolina Panthers,0.8063588409567166,Seattle Seahawks,236.625,190.80466074138306
Mayfield,Carolina Panthers,0.8063588409567166,Tampa Bay Buccaneers,194.0,156.43361514560303
Mayfield,Carolina Panthers,0.8063588409567166,Tennessee Titans,254.71428571428572,205.3911162036894
Mayfield,Carolina Panthers,0.8063588409567166,Washington Commanders,214.0,172.56079196473735
Fields,Chicago Bears,0.6282390346123276,Arizona Cardinals,252.25,158.47329648095962
Fields,Chicago Bears,0.6282390346123276,Atlanta Falcons,306.875,192.79085374665803
Fields,Chicago Bears,0.6282390346123276,Baltimore Ravens,266.75,167.58276248283838
Fields,Chicago Bears,0.6282390346123276,Buffalo Bills,203.14285714285714,127.62227245981853
Fields,Chicago Bears,0.6282390346123276,Carolina Panthers,232.0,145.75145603005998
Fields,Chicago Bears,0.6282390346123276,Cincinnati Bengals,210.375,132.1657869065684
Fields,Chicago Bears,0.6282390346123276,Cleveland Browns,208.25,130.83077895801722
Fields,Chicago Bears,0.6282390346123276,Dallas Cowboys,178.375,112.06213779897392
Fields,Chicago Bears,0.6282390346123276,Denver Broncos,165.75,104.1306199869933
Fields,Chicago Bears,0.6282390346123276,Detroit Lions,266.42857142857144,167.38082850742728
Fields,Chicago Bears,0.6282390346123276,Green Bay Packers,174.75,109.78477129850424
Fields,Chicago Bears,0.6282390346123276,Houston Texans,217.57142857142858,136.68686424493927
Fields,Chicago Bears,0.6282390346123276,Indianapolis Colts,199.75,125.49074716381243
Fields,Chicago Bears,0.6282390346123276,Jacksonville Jaguars,237.125,148.97118108244817
Fields,Chicago Bears,0.6282390346123276,Kansas City Chiefs,277.0,174.02221258761475
Fields,Chicago Bears,0.6282390346123276,Las Vegas Raiders,258.14285714285717,162.17541936349656
Fields,Chicago Bears,0.6282390346123276,Los Angeles Chargers,220.0,138.21258761471205
Fields,Chicago Bears,0.6282390346123276,Los Angeles Rams,205.71428571428572,129.23774426310737
Fields,Chicago Bears,0.6282390346123276,Miami Dolphins,262.125,164.67715694775637
Fields,Chicago Bears,0.6282390346123276,Minnesota Vikings,275.57142857142856,173.12472825245425
Fields,Chicago Bears,0.6282390346123276,New England Patriots,224.5,141.03966327046754
Fields,Chicago Bears,0.6282390346123276,New Orleans Saints,208.25,130.83077895801722
Fields,Chicago Bears,0.6282390346123276,New York Giants,208.375,130.90930883734376
Fields,Chicago Bears,0.6282390346123276,New York Jets,203.375,127.76811366428211
Fields,Chicago Bears,0.6282390346123276,Philadelphia Eagles,183.42857142857142,115.23698863460407
Fields,Chicago Bears,0.6282390346123276,Pittsburgh Steelers,277.25,174.17927234626782
Fields,Chicago Bears,0.6282390346123276,San Francisco 49ers,199.25,125.17662764650626
Fields,Chicago Bears,0.6282390346123276,Seattle Seahawks,236.625,148.65706156514202
Fields,Chicago Bears,0.6282390346123276,Tampa Bay Buccaneers,194.0,121.87837271479154
Fields,Chicago Bears,0.6282390346123276,Tennessee Titans,254.71428571428572,160.02145695911145
Fields,Chicago Bears,0.6282390346123276,Washington Commanders,214.0,134.4431534070381
Burrow,Cincinnati Bengals,1.220015897102392,Arizona Cardinals,252.25,307.7490100440784
Burrow,Cincinnati Bengals,1.220015897102392,Atlanta Falcons,306.875,374.3923784232965
Burrow,Cincinnati Bengals,1.220015897102392,Baltimore Ravens,266.75,325.43924055206304
Burrow,Cincinnati Bengals,1.220015897102392,Buffalo Bills,203.14285714285714,247.8375150970859
Burrow,Cincinnati Bengals,1.220015897102392,Carolina Panthers,232.0,283.04368812775493
Burrow,Cincinnati Bengals,1.220015897102392,Chicago Bears,188.0,229.3629886552497
Burrow,Cincinnati Bengals,1.220015897102392,Cleveland Browns,208.25,254.06831057157314
Burrow,Cincinnati Bengals,1.220015897102392,Dallas Cowboys,178.375,217.62033564563916
Burrow,Cincinnati Bengals,1.220015897102392,Denver Broncos,165.75,202.21763494472148
Burrow,Cincinnati Bengals,1.220015897102392,Detroit Lions,266.42857142857144,325.0470925851373
Burrow,Cincinnati Bengals,1.220015897102392,Green Bay Packers,174.75,213.197778018643
Burrow,Cincinnati Bengals,1.220015897102392,Houston Texans,217.57142857142858,265.44060161242044
Burrow,Cincinnati Bengals,1.220015897102392,Indianapolis Colts,199.75,243.6981754462028
Burrow,Cincinnati Bengals,1.220015897102392,Jacksonville Jaguars,237.125,289.2962696004047
Burrow,Cincinnati Bengals,1.220015897102392,Kansas City Chiefs,277.0,337.9444034973626
Burrow,Cincinnati Bengals,1.220015897102392,Las Vegas Raiders,258.14285714285717,314.9383894377175
Burrow,Cincinnati Bengals,1.220015897102392,Los Angeles Chargers,220.0,268.40349736252625
Burrow,Cincinnati Bengals,1.220015897102392,Los Angeles Rams,205.71428571428572,250.97469883249207
Burrow,Cincinnati Bengals,1.220015897102392,Miami Dolphins,262.125,319.7966670279645
Burrow,Cincinnati Bengals,1.220015897102392,Minnesota Vikings,275.57142857142856,336.20152364435916
Burrow,Cincinnati Bengals,1.220015897102392,New England Patriots,224.5,273.893568899487
Burrow,Cincinnati Bengals,1.220015897102392,New Orleans Saints,208.25,254.06831057157314
Burrow,Cincinnati Bengals,1.220015897102392,New York Giants,208.375,254.22081255871095
Burrow,Cincinnati Bengals,1.220015897102392,New York Jets,203.375,248.12073307319898
Burrow,Cincinnati Bengals,1.220015897102392,Philadelphia Eagles,183.42857142857142,223.78577312563874
Burrow,Cincinnati Bengals,1.220015897102392,Pittsburgh Steelers,277.25,338.24940747163816
Burrow,Cincinnati Bengals,1.220015897102392,San Francisco 49ers,199.25,243.0881674976516
Burrow,Cincinnati Bengals,1.220015897102392,Seattle Seahawks,236.625,288.6862616518535
Burrow,Cincinnati Bengals,1.220015897102392,Tampa Bay Buccaneers,194.0,236.68308403786403
Burrow,Cincinnati Bengals,1.220015897102392,Tennessee Titans,254.71428571428572,310.7554777905093
Burrow,Cincinnati Bengals,1.220015897102392,Washington Commanders,214.0,261.0834019799119
Brissett,Cleveland Browns,0.9756774333405593,Arizona Cardinals,252.25,246.11463256015608
Brissett,Cleveland Browns,0.9756774333405593,Atlanta Falcons,306.875,299.41101235638416
Brissett,Cleveland Browns,0.9756774333405593,Baltimore Ravens,266.75,260.2619553435942
Brissett,Cleveland Browns,0.9756774333405593,Buffalo Bills,203.14285714285714,198.20190145861076
Brissett,Cleveland Browns,0.9756774333405593,Carolina Panthers,232.0,226.35716453500976
Brissett,Cleveland Browns,0.9756774333405593,Chicago Bears,188.0,183.42735746802515
Brissett,Cleveland Browns,0.9756774333405593,Cincinnati Bengals,210.375,205.25814003902016
Brissett,Cleveland Browns,0.9756774333405593,Dallas Cowboys,178.375,174.03646217212227
Brissett,Cleveland Browns,0.9756774333405593,Denver Broncos,165.75,161.7185345761977
